loan_id,account_id,amount,duration,payments,status,district_id,frequency,index,region,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant rate '95,unemploymant rate '96,no. of enterpreneurs per 1000 inhabitants,no. of commited crimes '95,no. of commited crimes '96,time_since_create
5314,1787,96396,12,8033,-1,30,2,29,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985.0,2804,105
5316,1801,165960,36,4610,1,46,1,45,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854.0,2618,148
6863,9188,127080,60,2118,1,45,1,44,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080.0,2122,170
5325,1843,105804,36,2939,1,12,1,11,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,185
7240,11013,274740,60,4579,1,1,2,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,204
6687,8261,87840,24,3660,1,13,1,12,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597.0,1875,124
7284,11265,52788,12,4399,1,15,1,14,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845.0,1879,244
6111,5428,174744,24,7281,-1,24,1,23,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198.0,5273,163
7235,10973,154416,48,3217,1,18,2,17,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,176
5997,4894,117024,24,4876,1,14,1,13,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604.0,6295,137
7121,10364,21924,36,609,1,55,1,54,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659.0,3894,297
6077,5270,79608,24,3317,1,44,1,43,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166.0,2325,313
6228,6034,464520,60,7742,-1,6,2,5,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640.0,3120,257
6356,6701,95400,36,2650,1,49,2,48,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660.0,2123,268
5523,2705,93888,36,2608,1,63,0,62,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562.0,1460,156
6456,7123,47016,12,3918,1,64,0,63,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,239
7104,10320,259740,60,4329,1,68,1,67,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623.0,5887,155
6820,9034,38148,12,3179,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,171
6876,9236,86616,12,7218,1,11,1,10,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475.0,3529,125
7097,10266,75624,24,3151,-1,54,1,53,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,196
4959,2,80952,24,3373,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,313
6499,7401,80952,24,3373,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,313
5479,2486,24516,12,2043,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,317
5170,1071,253200,60,4220,1,68,2,67,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623.0,5887,255
6721,8475,21072,24,878,1,4,1,3,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244.0,5892,135
7259,11111,108144,36,3004,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,256
5285,1603,78936,12,6578,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,273
5189,1166,149040,48,3105,1,11,1,10,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475.0,3529,292
6650,8073,49320,12,4110,-1,24,0,23,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198.0,5273,167
7226,10940,197748,36,5493,1,50,1,49,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123.0,2134,163
6087,5313,300660,60,5011,1,40,1,39,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949.0,6872,304
7262,11135,182628,36,5073,1,75,1,74,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063.0,4505,142
5519,2694,91632,12,7636,1,7,1,6,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289.0,4846,365
6577,7753,51696,24,2154,1,74,1,73,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,396
6509,7445,55368,24,2307,1,64,1,63,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,362
6520,7485,91200,24,3800,1,39,1,38,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947.0,4743,231
6699,8330,7656,24,319,1,48,1,47,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655.0,1717,367
6336,6555,212400,36,5900,1,38,2,37,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653.0,2822,391
7055,10079,167100,60,2785,1,62,1,61,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719.0,2906,335
6103,5385,149340,60,2489,1,44,2,43,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166.0,2325,321
6202,5891,65184,12,5432,1,54,1,53,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,448
7066,10131,215388,36,5983,-1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,156
6696,8321,89040,60,1484,1,77,1,76,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460.0,3590,392
6072,5256,193968,36,5388,1,72,0,71,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,197
5130,813,24312,12,2026,1,16,1,15,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874.0,1913,455
5568,2933,272520,60,4542,1,10,1,9,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810.0,4316,333
6678,8173,80340,12,6695,1,11,1,10,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475.0,3529,319
6998,9833,97632,12,8136,1,20,1,19,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563.0,1542,301
6580,7769,196080,48,4085,1,23,1,22,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879.0,3198,231
6316,6473,76908,12,6409,-1,12,1,11,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,485
6512,7454,63312,48,1319,1,4,1,3,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244.0,5892,402
6407,6930,25944,24,1081,1,41,1,40,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,260
5002,173,104808,12,8734,1,66,1,65,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,186
6647,8051,208320,48,4340,1,1,2,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,479
7137,10439,151560,24,6315,1,66,1,65,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,194
6903,9337,52128,24,2172,1,30,1,29,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985.0,2804,264
5918,4576,300204,36,8339,1,27,1,26,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029.0,1127,364
6642,8027,77640,12,6470,1,44,2,43,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166.0,2325,333
6210,5927,87216,48,1817,-1,15,1,14,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845.0,1879,192
6279,6273,87360,24,3640,1,38,1,37,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653.0,2822,321
7249,11065,69360,48,1445,1,11,1,10,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475.0,3529,450
6736,8558,288360,60,4806,1,1,0,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,107
6112,5442,174744,24,7281,-1,34,1,33,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323.0,5190,452
5319,1811,239460,60,3991,1,40,1,39,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949.0,6872,274
6596,7844,91584,24,3816,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,211
5837,4260,244560,60,4076,1,56,1,55,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854.0,3158,258
5657,3354,4980,12,415,1,63,1,62,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562.0,1460,242
5533,2762,111384,24,4641,1,19,1,18,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999.0,1099,472
6232,6051,276660,36,7685,-1,56,1,55,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854.0,3158,314
6888,9265,39576,12,3298,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,522
6066,5228,173808,24,7242,1,77,0,76,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460.0,3590,383
5549,2824,50460,60,841,1,11,1,10,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475.0,3529,269
5060,426,252060,60,4201,-1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,232
6004,4937,143904,24,5996,1,12,1,11,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,518
5126,790,208128,48,4336,-1,54,1,53,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,439
7220,10911,131292,36,3647,1,1,2,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,425
6668,8129,74736,36,2076,1,45,1,44,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080.0,2122,399
5395,2176,299088,36,8308,-1,67,1,66,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244.0,3079,419
6836,9093,189300,60,3155,1,47,1,46,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079.0,5410,413
6064,5215,14628,12,1219,1,55,1,54,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659.0,3894,399
6919,9403,120888,36,3358,1,1,2,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,496
6841,9104,172080,48,3585,1,10,1,9,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810.0,4316,198
6038,5120,323472,48,6739,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,415
6729,8519,74688,12,6224,1,23,1,22,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879.0,3198,496
7198,10788,45768,12,3814,1,67,2,66,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244.0,3079,274
6686,8260,224604,36,6239,1,31,1,30,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,519
5836,4259,79632,24,3318,1,66,1,65,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,141
7061,10105,121896,24,5079,1,55,1,54,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659.0,3894,486
5595,3050,82896,12,6908,1,60,1,59,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879.0,2252,482
5723,3674,23628,12,1969,1,38,1,37,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653.0,2822,547
6120,5481,209184,48,4358,1,52,1,51,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564.0,2799,391
6895,9307,41904,12,3492,1,68,1,67,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623.0,5887,603
5882,4427,87816,12,7318,1,32,1,31,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505,476
5754,3834,23052,12,1921,1,54,1,53,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,617
6594,7824,189696,24,7904,-1,60,1,59,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879.0,2252,134
6738,8566,230220,36,6395,-1,74,1,73,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,356
6624,7965,71460,12,5955,1,55,1,54,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659.0,3894,326
6216,5952,141240,24,5885,1,50,1,49,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123.0,2134,388
6229,6040,11736,24,489,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,528
5887,4448,192744,36,5354,1,60,1,59,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879.0,2252,488
6808,8982,227880,36,6330,1,64,1,63,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,382
6297,6363,17508,12,1459,1,74,1,73,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,450
5161,1012,98184,24,4091,1,65,1,64,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157.0,2718,111
5390,2167,170256,24,7094,1,16,1,15,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874.0,1913,448
6150,5622,83016,12,6918,1,70,1,69,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878.0,10108,632
6223,5991,61056,48,1272,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,347
5032,290,123696,48,2577,1,56,1,55,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854.0,3158,336
6253,6148,59760,24,2490,1,74,1,73,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,312
6460,7133,48672,36,1352,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,415
6645,8041,140400,36,3900,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,392
5176,1106,192552,24,8023,-1,20,2,19,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563.0,1542,440
5269,1527,164052,36,4557,-1,31,0,30,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,367
5351,1978,205200,36,5700,1,57,2,56,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729.0,3651,541
5861,4337,51408,24,2142,1,29,1,28,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818.0,888,387
5450,2345,199680,60,3328,1,5,1,4,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616.0,3040,412
7142,10451,482940,60,8049,-1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,477
6306,6425,36684,12,3057,1,31,1,30,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,631
6272,6226,398640,60,6644,1,74,2,73,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,512
5044,344,100980,60,1683,1,54,1,53,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,385
5576,2962,31248,12,2604,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,570
7192,10738,115992,36,3222,1,45,2,44,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080.0,2122,613
5739,3747,76380,12,6365,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,246
6526,7523,288468,36,8013,1,63,1,62,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562.0,1460,127
5624,3166,177744,48,3703,-1,71,1,70,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980.0,4595,511
6244,6118,270648,36,7518,-1,1,2,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,307
5131,816,48624,24,2026,1,52,1,51,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564.0,2799,521
6960,9640,76416,24,3184,1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,669
6358,6715,137880,60,2298,-1,48,2,47,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655.0,1717,486
5418,2245,347952,48,7249,1,29,1,28,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818.0,888,657
6598,7857,68112,12,5676,1,75,1,74,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063.0,4505,532
5464,2419,95808,12,7984,1,24,1,23,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198.0,5273,429
6591,7819,20832,48,434,1,38,1,37,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653.0,2822,550
5724,3678,316140,60,5269,-1,1,1,0,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,683
6315,6472,43164,12,3597,1,61,1,60,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112.0,2059,363
5876,4413,221280,48,4610,1,74,2,73,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,389
6986,9750,151728,48,3161,-1,74,1,73,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,271
6294,6353,79920,60,1332,1,26,1,25,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041.0,6261,443
5132,817,538500,60,8975,1,5,1,4,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616.0,3040,336
5877,4414,97224,24,4051,1,24,1,23,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198.0,5273,531
