,client_id,district_id,sex,birth_date
0,1,18,0,1970-12-13
1,2,1,1,1945-02-04
2,3,1,0,1940-10-09
3,4,5,1,1956-12-01
4,5,5,0,1960-07-03
5,6,12,1,1919-09-22
6,7,15,1,1929-01-25
7,8,51,0,1938-02-21
8,9,60,1,1935-10-16
9,10,57,1,1943-05-01
10,11,57,0,1950-08-22
11,12,40,1,1981-02-20
12,13,54,0,1974-05-29
13,14,76,0,1942-06-22
14,15,21,0,1918-08-28
15,16,21,1,1919-02-25
16,17,76,1,1934-10-13
17,18,76,0,1931-04-05
18,19,47,1,1942-12-28
19,20,46,1,1979-01-04
20,21,12,0,1952-10-29
21,22,1,0,1969-10-11
22,23,1,1,1973-05-29
23,24,43,0,1939-07-29
24,25,21,0,1939-04-23
25,26,74,0,1969-04-20
26,27,54,0,1966-03-26
27,28,1,1,1945-09-29
28,29,30,0,1951-09-11
29,30,74,0,1957-10-09
30,31,68,1,1962-02-09
31,32,52,1,1980-07-28
32,33,73,0,1948-12-04
33,36,7,0,1978-07-17
34,37,7,1,1970-08-10
35,38,36,0,1973-07-23
36,39,68,1,1968-01-25
37,40,5,0,1957-01-22
38,41,22,1,1968-08-27
39,42,68,1,1935-08-17
40,43,75,1,1920-10-28
41,44,38,0,1977-01-11
42,45,20,1,1952-08-26
43,46,19,0,1940-01-30
44,47,76,1,1934-07-14
45,48,16,1,1940-02-09
46,49,72,0,1959-05-11
47,50,39,0,1978-07-30
48,51,36,0,1979-12-02
49,52,32,1,1924-12-12
50,53,64,1,1977-05-05
51,55,45,0,1948-09-18
52,56,21,1,1960-03-31
53,57,21,0,1961-12-17
54,58,1,0,1927-04-29
55,59,1,1,1957-02-18
56,60,67,1,1980-02-19
57,61,16,0,1948-08-06
58,62,77,1,1932-12-08
59,63,4,1,1959-06-04
60,64,20,1,1926-04-22
61,65,50,0,1943-05-27
62,66,1,0,1951-11-10
63,67,29,0,1932-11-11
64,68,43,1,1946-12-14
65,70,70,1,1925-12-22
66,71,70,0,1927-02-06
67,72,47,1,1923-01-13
68,73,22,1,1924-02-20
69,74,22,0,1925-07-26
70,75,64,0,1977-09-19
71,76,36,0,1967-10-01
72,77,1,0,1956-02-18
73,78,16,0,1944-06-13
74,79,37,0,1969-03-10
75,80,64,0,1979-02-25
76,81,8,1,1976-04-29
77,82,8,0,1979-12-25
78,83,1,0,1978-12-25
79,84,1,1,1979-05-05
80,85,1,1,1961-08-27
81,86,1,0,1969-07-20
82,87,72,0,1946-11-17
83,89,1,0,1951-05-05
84,90,52,1,1975-08-17
85,91,63,1,1940-08-07
86,92,74,0,1966-06-12
87,93,3,1,1925-02-16
88,94,43,1,1947-09-09
89,95,43,0,1952-08-03
90,96,74,1,1972-02-29
91,97,26,1,1965-11-28
92,98,33,0,1973-05-04
93,99,33,1,1973-01-26
94,100,44,0,1942-08-11
95,101,68,1,1943-01-23
96,102,74,0,1958-09-10
97,103,74,1,1955-07-11
98,105,31,1,1980-05-26
99,106,68,0,1968-12-30
100,107,1,1,1972-06-23
101,108,17,1,1963-09-13
102,110,2,0,1967-04-13
103,112,1,1,1935-01-25
104,113,1,0,1940-08-15
105,114,74,0,1969-06-24
106,115,74,1,1969-12-24
107,116,74,1,1942-01-28
108,117,74,0,1936-09-20
109,118,55,1,1922-07-19
110,119,55,0,1922-02-28
111,120,1,1,1976-05-10
112,121,41,0,1978-10-29
113,122,35,0,1963-11-13
114,123,11,1,1969-02-12
115,124,44,1,1967-09-21
116,125,37,1,1936-10-31
117,126,37,0,1929-09-27
