trans_id,account_id,date,balance,credits_mean,withdrawal_mean
637,2,1993-12-31,27840.6,10394.786363636364,5276.4689655172415
4546,19,1996-04-10,15854.0,5264.765217391305,6188.025
20146,67,1996-04-30,23689.2,21979.508108108108,8934.957142857143
40578,132,1996-10-31,78907.6,16852.55,12528.57142857143
52111,173,1994-05-25,28015.4,9470.5,4757.2555555555555
3540246,290,1994-10-31,25201.8,12984.854545454546,5837.488888888889
100657,344,1994-12-10,47137.7,7692.8,3734.13488372093
3445373,347,1995-04-30,50846.7,13214.305263157894,9036.885
126903,426,1994-07-14,70096.5,14985.173076923076,8799.586206896553
150221,501,1996-10-16,76081.3,10113.641666666666,5207.6875
162908,544,1996-08-19,39378.8,12375.087096774194,7266.186046511628
231720,789,1995-11-12,21545.7,3179.5086956521736,1842.25
232075,790,1994-07-21,81474.6,11823.668965517241,7071.082352941176
236709,808,1996-04-08,8640.6,5505.576666666666,5049.245161290322
237960,813,1994-05-06,28461.9,5601.632432432432,2762.7944444444447
238906,816,1995-01-07,47993.6,15032.102040816326,10188.356923076923
239345,817,1995-02-14,23271.0,11733.345454545455,6523.961111111112
246494,846,1996-07-21,86877.7,18044.1875,22425.466666666667
248517,854,1995-05-14,26795.3,5670.470731707317,1922.3738317757009
267603,915,1995-09-15,51799.4,20681.70625,14689.884210526316
274247,940,1996-05-12,94617.3,20623.949999999997,11284.996296296296
280246,960,1995-05-16,68945.6,21569.60714285714,14874.666666666666
296384,1011,1995-12-12,37992.7,10772.44,5526.545945945946
296674,1012,1994-10-10,68956.1,9059.654545454545,10233.333333333334
313679,1071,1994-01-19,81150.6,13560.890476190476,9632.35294117647
3446224,1106,1994-10-31,22255.5,6090.784615384615,5086.086956521739
344025,1166,1994-01-31,19033.5,9496.58,5108.0625
366687,1247,1995-03-04,32966.8,14426.435555555556,8723.192727272726
367932,1250,1996-11-23,23898.3,11558.89411764706,7504.4695652173905
369605,1256,1995-05-16,31397.0,7801.575862068966,3418.3999999999996
403987,1375,1995-08-20,39839.5,10959.40303030303,5645.975438596491
449259,1527,1994-11-12,20811.2,14078.810714285715,9350.013333333334
465419,1583,1996-08-08,38697.3,8491.0,6083.410344827586
470802,1603,1994-02-05,24601.0,3975.2083333333335,2622.3703703703704
3586323,1698,1996-06-30,47239.7,9777.114285714286,7066.666666666667
515442,1762,1995-04-20,41108.6,9398.816216216217,3694.549397590361
516356,1766,1996-06-13,48523.3,10581.039999999999,3032.7886524822698
518935,1772,1996-03-12,81623.6,26091.911538461536,10954.227272727272
527678,1801,1993-07-09,52208.9,13523.158823529413,9111.266666666666
531766,1811,1994-06-19,36240.6,13387.938888888888,7224.533333333333
3591355,1843,1993-07-31,34307.3,9254.6,7168.099999999999
547052,1862,1996-10-08,88610.1,21574.036111111112,11488.490566037735
554064,1886,1996-07-16,74638.8,15043.88,15160.0
577798,1967,1996-04-18,55426.5,10919.69,9072.133333333333
581584,1978,1994-12-03,54586.0,17320.669444444444,5862.978021978022
3447545,1993,1995-03-31,23946.1,6971.799999999999,7760.0
605877,2062,1996-10-28,39660.8,23036.1125,11280.581818181818
3599956,2106,1996-09-30,16735.4,6132.844444444444,4683.5199999999995
3601020,2143,1996-08-31,49663.5,11367.793749999999,8815.72
630637,2153,1996-11-13,20051.1,16171.554545454546,6231.066666666667
634421,2167,1994-10-27,43302.8,11986.912903225806,7136.769565217392
637158,2176,1994-07-23,19448.5,17668.68043478261,9793.063888888888
648875,2218,1995-11-17,38747.5,22366.575,14351.581818181818
651643,2227,1995-12-11,21531.8,13338.338,10334.916666666666
651975,2228,1995-03-25,82385.2,12500.505000000001,11973.214285714286
653761,2236,1996-09-20,65062.8,7729.642105263159,8766.666666666666
656965,2245,1995-01-13,57546.3,16705.18,11279.735593220339
664169,2268,1996-07-13,65684.6,12967.817647058822,6051.9548387096775
680547,2322,1996-06-25,23552.7,15197.84375,5319.0047244094485
686276,2343,1995-10-31,30824.1,5352.908333333334,3487.342857142857
686958,2345,1994-11-30,19924.0,10072.949999999999,5329.509523809524
688854,2352,1996-04-15,45021.6,10568.796774193548,3577.3544303797466
691123,2361,1995-03-31,23271.5,3672.6189189189186,2963.5631578947373
