card_id,disp_id,card_type,card_date
1005,9285,0,1993-11-07
104,588,0,1994-01-19
747,4915,0,1994-02-05
70,439,0,1994-02-08
577,3687,0,1994-02-15
377,2429,0,1994-03-03
721,4680,-10,1994-04-05
437,2762,0,1994-06-01
188,1146,0,1994-06-19
13,87,0,1994-06-29
732,4763,0,1994-07-21
181,1066,0,1994-08-19
384,2475,-10,1994-09-15
309,1946,0,1994-09-19
478,3084,0,1994-10-09
563,3589,0,1994-10-21
369,2363,0,1994-11-08
376,2428,0,1994-11-10
483,3115,0,1994-11-24
174,1039,-10,1994-12-04
658,4251,0,1994-12-25
763,5138,-10,1994-12-30
778,5275,0,1995-01-02
1039,9837,0,1995-01-07
477,3082,-10,1995-01-16
168,1018,0,1995-01-24
314,1999,-10,1995-01-27
468,3023,0,1995-01-30
208,1246,10,1995-02-08
766,5200,0,1995-02-11
464,2984,0,1995-02-21
497,3184,0,1995-03-03
166,999,0,1995-03-05
15,114,0,1995-03-05
503,3225,0,1995-03-08
737,4791,0,1995-04-13
759,5117,-10,1995-04-18
223,1353,0,1995-04-18
5,51,-10,1995-04-24
662,4293,0,1995-05-09
779,5323,-10,1995-05-21
545,3458,0,1995-05-30
467,3019,0,1995-06-05
1247,13660,0,1995-06-13
652,4211,0,1995-06-16
559,3573,0,1995-06-17
719,4663,0,1995-06-24
397,2513,0,1995-06-24
107,593,0,1995-06-27
661,4270,0,1995-07-03
484,3116,0,1995-07-04
501,3197,0,1995-07-09
422,2650,-10,1995-07-11
705,4555,0,1995-07-12
410,2569,0,1995-07-20
136,778,0,1995-07-28
592,3782,-10,1995-08-07
262,1647,-10,1995-08-24
18,128,0,1995-08-25
3,41,10,1995-09-03
98,537,0,1995-09-06
167,1011,0,1995-09-15
97,531,-10,1995-09-19
699,4532,0,1995-09-26
342,2157,0,1995-09-27
713,4627,0,1995-09-30
118,652,0,1995-10-22
783,5433,-10,1995-10-24
504,3230,-10,1995-11-06
261,1629,10,1995-11-09
296,1876,10,1995-11-13
113,629,-10,1995-11-16
92,508,0,1995-11-20
1225,13268,0,1995-11-22
393,2498,-10,1995-12-03
695,4507,0,1995-12-15
666,4328,-10,1995-12-25
462,2978,0,1995-12-30
85,489,0,1995-12-31
337,2141,0,1996-01-01
771,5233,0,1996-01-08
379,2431,0,1996-01-12
106,592,0,1996-01-14
606,3883,0,1996-01-22
427,2688,10,1996-01-25
202,1228,0,1996-02-04
14,112,0,1996-02-17
423,2657,0,1996-02-19
989,9119,0,1996-02-21
364,2329,0,1996-02-29
267,1691,-10,1996-03-09
621,3970,-10,1996-03-19
725,4715,-10,1996-03-30
150,859,0,1996-03-30
302,1900,0,1996-03-31
372,2395,0,1996-03-31
499,3187,0,1996-04-03
229,1384,0,1996-04-05
289,1831,-10,1996-04-08
37,238,0,1996-04-20
286,1812,10,1996-04-21
157,907,0,1996-04-24
216,1310,-10,1996-04-24
977,8968,0,1996-05-08
183,1080,0,1996-05-08
945,8342,-10,1996-05-09
44,268,-10,1996-05-17
127,714,0,1996-05-23
764,5159,0,1996-05-29
204,1239,-10,1996-05-30
1134,11742,0,1996-05-31
312,1971,0,1996-06-08
313,1980,0,1996-06-17
641,4116,0,1996-06-18
731,4751,0,1996-06-23
84,487,0,1996-06-26
265,1680,0,1996-06-28
1176,12502,10,1996-07-03
407,2555,0,1996-07-11
320,2045,0,1996-07-11
1187,12635,10,1996-07-17
121,666,-10,1996-07-22
303,1912,0,1996-08-01
651,4201,-10,1996-08-02
736,4789,0,1996-08-03
24,153,-10,1996-08-05
119,655,0,1996-08-08
670,4343,0,1996-08-08
227,1380,0,1996-08-10
1164,12269,0,1996-08-12
278,1779,0,1996-08-15
103,584,-10,1996-08-17
673,4353,-10,1996-08-31
38,242,0,1996-08-31
470,3036,0,1996-09-02
514,3267,0,1996-09-10
741,4832,0,1996-09-11
12,83,-10,1996-09-11
152,876,0,1996-09-16
163,984,0,1996-09-18
708,4568,-10,1996-09-24
601,3830,0,1996-10-08
99,548,10,1996-10-09
547,3477,0,1996-10-11
40,255,0,1996-10-13
220,1333,0,1996-10-13
390,2490,0,1996-10-14
776,5263,0,1996-10-19
197,1202,-10,1996-10-21
516,3279,0,1996-10-25
381,2440,0,1996-10-27
272,1754,-10,1996-10-28
772,5243,0,1996-10-30
528,3356,0,1996-10-31
87,493,0,1996-11-02
88,496,0,1996-11-04
441,2785,0,1996-11-05
562,3583,0,1996-11-07
690,4479,0,1996-11-07
374,2423,0,1996-11-08
57,347,0,1996-11-09
722,4684,0,1996-11-14
300,1890,0,1996-11-20
117,649,-10,1996-11-23
541,3427,-10,1996-11-26
294,1861,0,1996-12-04
10,77,0,1996-12-07
710,4588,-10,1996-12-10
363,2324,-10,1996-12-11
697,4518,0,1996-12-11
433,2724,0,1996-12-12
642,4137,0,1996-12-13
243,1478,0,1996-12-13
162,967,-10,1996-12-23
594,3794,-10,1996-12-27
609,3893,0,1996-12-29
786,5478,0,1996-12-31
