district_id,region_0,region_1,region_2,region_3,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant_rate,no. of enterpreneurs per 1000 inhabitants
1,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
2,0,0,1,0,88884,80,26,6,2,5,46.7,8507,1.85,132
3,0,0,1,0,75232,55,26,4,1,5,41.7,8980,2.21,111
4,0,0,1,0,149893,63,29,6,2,6,67.4,9753,5.05,109
5,0,0,1,0,95616,65,30,4,1,6,51.4,9307,4.43,118
6,0,0,1,0,77963,60,23,4,2,4,51.5,8546,4.02,126
7,0,0,1,0,94725,38,28,1,3,6,63.4,9920,2.87,130
8,0,0,1,0,112065,95,19,7,1,8,69.4,11277,1.44,127
9,0,0,1,0,81344,61,23,4,2,6,55.3,8899,3.97,149
10,0,0,1,0,92084,55,29,4,3,5,46.7,10124,0.54,141
11,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154
12,0,0,1,0,107870,84,29,6,1,6,58.0,8754,4.31,137
13,0,0,1,0,53921,61,22,1,1,2,41.3,8598,3.26,123
14,0,0,1,1,177686,69,27,10,1,9,74.8,10045,1.71,135
15,0,0,1,1,58796,22,16,7,1,5,51.9,9045,3.6,124
16,0,0,1,1,93931,74,21,10,1,8,56.9,8427,1.54,107
17,0,0,1,1,74062,99,15,4,2,7,61.4,8114,2.62,119
18,0,0,1,1,70699,60,13,2,1,4,65.3,8968,3.35,131
19,0,0,1,1,51428,50,11,3,1,4,52.7,8402,3.98,120
20,0,0,1,1,70646,94,14,3,1,4,58.4,8547,3.64,120
21,0,0,1,1,103347,87,16,7,1,7,67.0,9104,2.07,123
22,0,1,0,0,58400,65,16,4,1,6,52.4,8620,1.25,100
23,0,1,0,0,87419,21,11,4,3,9,85.5,8624,2.66,102
24,0,1,0,0,122603,25,21,6,2,8,80.0,8991,2.01,128
25,0,1,0,0,88757,60,33,3,2,10,61.7,8554,2.68,113
26,0,1,0,0,170449,0,0,0,1,1,100.0,10787,3.09,131
27,0,1,0,0,67298,71,19,10,0,7,43.8,8561,1.29,110
28,0,1,0,0,72541,66,26,10,0,8,36.9,8594,2.01,112
29,0,1,0,0,45714,52,10,5,1,6,55.6,8843,3.6,113
30,0,1,0,0,94812,15,13,8,2,10,81.8,9650,3.67,100
31,0,1,0,0,51313,34,12,3,1,4,59.2,8930,4.2,108
32,0,1,0,1,105058,32,19,7,2,10,81.0,9272,3.22,118
33,0,1,0,1,133777,24,17,7,3,11,84.7,8705,7.61,116
34,0,1,0,1,125236,28,11,1,4,5,87.7,9675,7.68,100
35,0,1,0,1,88768,10,18,5,1,7,80.5,8867,1.21,130
36,0,1,0,1,159617,29,19,8,1,9,85.2,9198,4.28,131
37,0,1,0,1,114006,71,26,6,2,9,62.3,9065,5.39,123
38,0,1,0,1,85852,41,23,4,2,4,59.8,8965,8.23,104
39,0,1,0,1,119895,17,4,3,2,4,89.9,10446,9.4,90
40,0,1,0,1,128118,9,16,6,3,8,85.3,9317,7.07,97
41,0,1,0,1,118650,8,8,5,1,3,85.6,9832,4.48,114
42,0,1,1,0,95907,87,25,5,2,7,59.1,8388,2.94,87
43,0,1,1,0,161854,73,21,6,1,6,76.3,9425,2.5,125
44,0,1,1,0,105606,77,26,7,2,7,53.0,8254,3.76,97
45,0,1,1,0,77917,85,19,6,1,5,53.5,8390,2.89,132
46,0,1,1,0,112709,48,20,7,3,10,73.5,8369,2.31,117
