client_id,sex,birth_date,disp_id,account_id,disp_type,n_clients,card_avg
2,MAN,1945-02-04,2,2,OWNER,2,0
3,WOMAN,1940-10-09,3,2,DISPONENT,2,0
25,WOMAN,1939-04-23,25,19,OWNER,1,0
78,WOMAN,1944-06-13,78,67,OWNER,1,0
158,WOMAN,1945-07-03,158,132,OWNER,2,0
159,MAN,1938-09-10,159,132,DISPONENT,2,0
210,MAN,1939-11-30,210,173,OWNER,2,0
211,WOMAN,1945-06-28,211,173,DISPONENT,2,0
352,MAN,1940-08-27,352,290,OWNER,1,0
421,MAN,1965-07-31,421,344,OWNER,1,0
424,MAN,1947-10-08,424,347,OWNER,1,0
512,WOMAN,1965-08-03,512,426,OWNER,1,0
603,WOMAN,1966-03-09,603,501,OWNER,1,0
655,MAN,1942-12-10,655,544,OWNER,1,0
944,MAN,1970-12-18,944,789,OWNER,2,0
945,WOMAN,1977-01-10,945,789,DISPONENT,2,0
946,MAN,1951-08-06,946,790,OWNER,1,0
968,MAN,1957-02-17,968,808,OWNER,1,0
976,WOMAN,1955-11-19,976,813,OWNER,1,0
980,MAN,1961-09-30,980,816,OWNER,1,0
981,MAN,1960-06-28,981,817,OWNER,1,0
1020,WOMAN,1977-05-10,1020,846,OWNER,1,0
1029,WOMAN,1954-03-16,1029,854,OWNER,1,0
1102,MAN,1935-01-29,1102,915,OWNER,1,0
1133,WOMAN,1958-09-15,1133,940,OWNER,2,0
1134,MAN,1959-10-01,1134,940,DISPONENT,2,0
1157,WOMAN,1958-12-30,1157,960,OWNER,1,0
1215,MAN,1944-05-06,1215,1011,OWNER,1,0
1216,WOMAN,1945-06-12,1216,1012,OWNER,1,0
1286,WOMAN,1950-03-13,1286,1071,OWNER,1,0
1327,WOMAN,1963-12-31,1327,1106,OWNER,1,0
1404,WOMAN,1968-12-20,1404,1166,OWNER,1,0
1505,WOMAN,1971-06-25,1505,1247,OWNER,1,0
1509,WOMAN,1942-04-19,1509,1250,OWNER,1,0
1516,WOMAN,1946-10-17,1516,1256,OWNER,1,0
1663,MAN,1957-04-29,1663,1375,OWNER,1,0
1851,WOMAN,1975-09-12,1851,1527,OWNER,1,0
1917,WOMAN,1969-03-13,1917,1583,OWNER,1,0
1944,WOMAN,1957-01-22,1944,1603,OWNER,1,0
2063,WOMAN,1950-09-26,2063,1698,OWNER,1,0
2136,WOMAN,1940-07-24,2136,1762,OWNER,1,0
2141,MAN,1951-09-06,2141,1766,OWNER,1,0
2148,WOMAN,1953-07-20,2148,1772,OWNER,1,0
2166,WOMAN,1947-07-22,2166,1787,OWNER,1,0
2181,MAN,1968-07-22,2181,1801,OWNER,1,0
2195,WOMAN,1942-09-13,2195,1811,OWNER,1,0
2235,WOMAN,1940-04-20,2235,1843,OWNER,1,0
2259,WOMAN,1950-01-02,2259,1862,OWNER,1,0
2288,WOMAN,1957-08-23,2288,1886,OWNER,2,0
2289,MAN,1954-08-21,2289,1886,DISPONENT,2,0
2392,MAN,1955-05-21,2392,1967,OWNER,1,0
2403,WOMAN,1963-01-25,2403,1978,OWNER,1,0
2422,WOMAN,1976-06-09,2422,1993,OWNER,1,0
2501,WOMAN,1940-12-04,2501,2062,OWNER,1,0
2550,WOMAN,1976-10-12,2550,2106,OWNER,1,0
2592,WOMAN,1980-08-31,2592,2143,OWNER,2,0
2593,MAN,1977-06-10,2593,2143,DISPONENT,2,0
2606,MAN,1943-01-04,2606,2153,OWNER,1,0
2623,WOMAN,1965-07-16,2623,2167,OWNER,1,0
2635,WOMAN,1966-12-10,2635,2176,OWNER,1,0
2686,WOMAN,1951-03-24,2686,2218,OWNER,2,0
2687,MAN,1949-08-22,2687,2218,DISPONENT,2,0
2698,WOMAN,1970-10-07,2698,2227,OWNER,2,0
2699,MAN,1977-02-23,2699,2227,DISPONENT,2,0
2700,MAN,1945-02-22,2700,2228,OWNER,1,0
2708,MAN,1958-08-12,2708,2236,OWNER,1,0
2719,WOMAN,1964-10-30,2719,2245,OWNER,1,0
2746,MAN,1971-02-25,2746,2268,OWNER,1,0
2809,MAN,1979-02-14,2809,2322,OWNER,1,0
2831,WOMAN,1980-07-09,2831,2343,OWNER,1,0
2834,MAN,1949-05-23,2834,2345,OWNER,1,0
2843,WOMAN,1966-10-06,2843,2352,OWNER,1,0
2853,WOMAN,1956-04-25,2853,2361,OWNER,1,0
2922,MAN,1940-09-07,2922,2419,OWNER,1,0
2966,MAN,1955-02-20,2966,2456,OWNER,1,0
3001,MAN,1958-10-07,3001,2486,OWNER,1,0
3013,WOMAN,1950-03-18,3013,2496,OWNER,2,0
3014,MAN,1953-11-05,3014,2496,DISPONENT,2,0
3103,WOMAN,1973-03-07,3103,2572,OWNER,1,0
3113,WOMAN,1971-11-12,3113,2580,OWNER,2,0
3114,MAN,1971-02-24,3114,2580,DISPONENT,2,0
3251,WOMAN,1962-12-28,3251,2694,OWNER,2,0
3252,MAN,1961-03-26,3252,2694,DISPONENT,2,0
3264,WOMAN,1950-10-20,3264,2705,OWNER,1,0
3335,MAN,1967-02-10,3335,2762,OWNER,1,0
3414,WOMAN,1947-10-17,3414,2824,OWNER,1,0
3519,MAN,1949-12-15,3519,2912,OWNER,1,0
3542,MAN,1939-09-02,3542,2933,OWNER,2,0
3543,WOMAN,1941-08-19,3543,2933,DISPONENT,2,0
3576,WOMAN,1939-03-15,3576,2962,OWNER,1,0
3616,WOMAN,1964-04-14,3616,2994,OWNER,1,0
