loan_id,account_id,loan_date,amount,duration,payments,status,district_id,frequency,account_date
5314,1787,1993-07-05,96396,12,8033,1,30,4,1993-03-22
5316,1801,1993-07-11,165960,36,4610,0,46,1,1993-02-13
6863,9188,1993-07-28,127080,60,2118,0,45,1,1993-02-08
5325,1843,1993-08-03,105804,36,2939,0,12,1,1993-01-30
7240,11013,1993-09-06,274740,60,4579,0,1,4,1993-02-14
6687,8261,1993-09-13,87840,24,3660,0,13,1,1993-05-12
7284,11265,1993-09-15,52788,12,4399,0,15,1,1993-01-14
6111,5428,1993-09-24,174744,24,7281,1,24,1,1993-04-14
7235,10973,1993-10-13,154416,48,3217,0,18,4,1993-04-20
5997,4894,1993-11-04,117024,24,4876,0,14,1,1993-06-20
7121,10364,1993-11-10,21924,36,609,0,55,1,1993-01-17
6077,5270,1993-11-22,79608,24,3317,0,44,1,1993-01-13
6228,6034,1993-12-01,464520,60,7742,1,6,4,1993-03-19
6356,6701,1993-12-08,95400,36,2650,0,49,4,1993-03-15
5523,2705,1993-12-08,93888,36,2608,0,63,12,1993-07-05
6456,7123,1993-12-09,47016,12,3918,0,64,12,1993-04-14
7104,10320,1993-12-13,259740,60,4329,0,68,1,1993-07-11
6820,9034,1993-12-16,38148,12,3179,0,1,1,1993-06-28
6876,9236,1993-12-21,86616,12,7218,0,11,1,1993-08-18
7097,10266,1993-12-23,75624,24,3151,1,54,1,1993-06-10
4959,2,1994-01-05,80952,24,3373,0,1,1,1993-02-26
6499,7401,1994-01-05,80952,24,3373,0,1,1,1993-02-26
5479,2486,1994-01-10,24516,12,2043,0,1,1,1993-02-27
5170,1071,1994-01-20,253200,60,4220,0,68,4,1993-05-10
6721,8475,1994-01-21,21072,24,878,0,4,1,1993-09-08
7259,11111,1994-01-31,108144,36,3004,0,1,1,1993-05-20
5285,1603,1994-02-06,78936,12,6578,0,1,1,1993-05-09
5189,1166,1994-02-07,149040,48,3105,0,11,1,1993-04-21
6650,8073,1994-02-17,49320,12,4110,1,24,12,1993-09-03
7226,10940,1994-02-23,197748,36,5493,0,50,1,1993-09-13
6087,5313,1994-02-27,300660,60,5011,0,40,1,1993-04-29
7262,11135,1994-03-01,182628,36,5073,0,75,1,1993-10-10
5519,2694,1994-03-08,91632,12,7636,0,7,1,1993-03-08
6577,7753,1994-03-11,51696,24,2154,0,74,1,1993-02-08
6509,7445,1994-03-15,55368,24,2307,0,64,1,1993-03-18
6520,7485,1994-03-16,91200,24,3800,0,39,1,1993-07-28
6699,8330,1994-03-30,7656,24,319,0,48,1,1993-03-28
6336,6555,1994-03-31,212400,36,5900,0,38,4,1993-03-05
7055,10079,1994-04-06,167100,60,2785,0,62,1,1993-05-06
6103,5385,1994-04-07,149340,60,2489,0,44,4,1993-05-21
6202,5891,1994-04-18,65184,12,5432,0,54,1,1993-01-25
7066,10131,1994-05-02,215388,36,5983,1,1,1,1993-11-27
6696,8321,1994-05-09,89040,60,1484,0,77,1,1993-04-12
6072,5256,1994-05-10,193968,36,5388,0,72,12,1993-10-25
5130,813,1994-05-11,24312,12,2026,0,16,1,1993-02-10
5568,2933,1994-05-17,272520,60,4542,0,10,1,1993-06-18
6678,8173,1994-05-20,80340,12,6695,0,11,1,1993-07-05
6998,9833,1994-05-21,97632,12,8136,0,20,1,1993-07-24
6580,7769,1994-05-22,196080,48,4085,0,23,1,1993-10-03
6316,6473,1994-05-26,76908,12,6409,1,12,1,1993-01-26
6512,7454,1994-05-26,63312,48,1319,0,4,1,1993-04-19
6407,6930,1994-05-26,25944,24,1081,0,41,1,1993-09-08
5002,173,1994-05-31,104808,12,8734,0,66,1,1993-11-26
6647,8051,1994-06-01,208320,48,4340,0,1,4,1993-02-07
7137,10439,1994-06-03,151560,24,6315,0,66,1,1993-11-21
6903,9337,1994-06-04,52128,24,2172,0,30,1,1993-09-13
5918,4576,1994-06-04,300204,36,8339,0,27,1,1993-06-05
6642,8027,1994-06-05,77640,12,6470,0,44,4,1993-07-07
6210,5927,1994-06-06,87216,48,1817,1,15,1,1993-11-26
6279,6273,1994-06-07,87360,24,3640,0,38,1,1993-07-21
7249,11065,1994-06-12,69360,48,1445,0,11,1,1993-03-19
6736,8558,1994-06-14,288360,60,4806,0,1,12,1994-02-27
6112,5442,1994-06-17,174744,24,7281,1,34,1,1993-03-22
5319,1811,1994-06-23,239460,60,3991,0,40,1,1993-09-22
6596,7844,1994-06-25,91584,24,3816,0,1,1,1993-11-26
5837,4260,1994-06-29,244560,60,4076,0,56,1,1993-10-14
5657,3354,1994-07-05,4980,12,415,0,63,1,1993-11-05
5533,2762,1994-07-05,111384,24,4641,0,19,1,1993-03-20
6232,6051,1994-07-08,276660,36,7685,1,56,1,1993-08-28
6888,9265,1994-07-11,39576,12,3298,0,1,1,1993-02-04
6066,5228,1994-07-11,173808,24,7242,0,77,12,1993-06-23
5549,2824,1994-07-16,50460,60,841,0,11,1,1993-10-20
5060,426,1994-07-19,252060,60,4201,1,1,1,1993-11-29
6004,4937,1994-07-23,143904,24,5996,0,12,1,1993-02-20
5126,790,1994-07-24,208128,48,4336,1,54,1,1993-05-11
7220,10911,1994-07-28,131292,36,3647,0,1,4,1993-05-29
6668,8129,1994-07-30,74736,36,2076,0,45,1,1993-06-26
5395,2176,1994-07-30,299088,36,8308,1,67,1,1993-06-06
6836,9093,1994-08-03,189300,60,3155,0,47,1,1993-06-16
6064,5215,1994-08-04,14628,12,1219,0,55,1,1993-07-01
6919,9403,1994-08-05,120888,36,3358,0,1,4,1993-03-27
6841,9104,1994-08-07,172080,48,3585,0,10,1,1994-01-21
6038,5120,1994-08-10,323472,48,6739,0,1,1,1993-06-21
6729,8519,1994-08-11,74688,12,6224,0,23,1,1993-04-02
7198,10788,1994-08-23,45768,12,3814,0,67,4,1993-11-22
6686,8260,1994-08-25,224604,36,6239,0,31,1,1993-03-24
5836,4259,1994-08-27,79632,24,3318,0,66,1,1994-04-08
7061,10105,1994-08-27,121896,24,5079,0,55,1,1993-04-28
5595,3050,1994-09-02,82896,12,6908,0,60,1,1993-05-08
5723,3674,1994-09-10,23628,12,1969,0,38,1,1993-03-12
6120,5481,1994-09-11,209184,48,4358,0,52,1,1993-08-16
6895,9307,1994-09-19,41904,12,3492,0,68,1,1993-01-24
5882,4427,1994-09-26,87816,12,7318,0,32,1,1993-06-07
5754,3834,1994-09-28,23052,12,1921,0,54,1,1993-01-19
6594,7824,1994-09-28,189696,24,7904,1,60,1,1994-05-17
6738,8566,1994-09-29,230220,36,6395,1,74,1,1993-10-08
6624,7965,1994-09-30,71460,12,5955,0,55,1,1993-11-08
6216,5952,1994-09-30,141240,24,5885,0,50,1,1993-09-07
6229,6040,1994-10-02,11736,24,489,0,1,1,1993-04-22
5887,4448,1994-10-03,192744,36,5354,0,60,1,1993-06-02
6808,8982,1994-10-12,227880,36,6330,0,64,1,1993-09-25
6297,6363,1994-10-25,17508,12,1459,0,74,1,1993-08-01
5161,1012,1994-10-28,98184,24,4091,0,65,1,1994-07-09
5390,2167,1994-10-30,170256,24,7094,0,16,1,1993-08-08
6150,5622,1994-11-02,83016,12,6918,0,70,1,1993-02-08
6223,5991,1994-11-03,61056,48,1272,0,1,1,1993-11-21
5032,290,1994-11-03,123696,48,2577,0,56,1,1993-12-02
6253,6148,1994-11-04,59760,24,2490,0,74,1,1993-12-27
6460,7133,1994-11-06,48672,36,1352,0,1,1,1993-09-17
6645,8041,1994-11-06,140400,36,3900,0,1,1,1993-10-10
5176,1106,1994-11-12,192552,24,8023,1,20,4,1993-08-29
5269,1527,1994-11-19,164052,36,4557,1,31,12,1993-11-17
5351,1978,1994-12-04,205200,36,5700,0,57,4,1993-06-11
5861,4337,1994-12-08,51408,24,2142,0,29,1,1993-11-16
5450,2345,1994-12-11,199680,60,3328,0,5,1,1993-10-25
