loan_id,account_id,loan_date,amount,duration,payments,status,district_id,frequency,account_date,index,region_0,region_1,region_2,region_3,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant_rate,no. of enterpreneurs per 1000 inhabitants
5314,1787,1993-07-05,96396,12,8033,1,30,4,1993-03-22,29,0,1,0,0,94812,15,13,8,2,10,81.8,9650,3.67,100
5316,1801,1993-07-11,165960,36,4610,0,46,1,1993-02-13,45,0,1,1,0,112709,48,20,7,3,10,73.5,8369,2.31,117
6863,9188,1993-07-28,127080,60,2118,0,45,1,1993-02-08,44,0,1,1,0,77917,85,19,6,1,5,53.5,8390,2.89,132
5325,1843,1993-08-03,105804,36,2939,0,12,1,1993-01-30,11,0,0,1,0,107870,84,29,6,1,6,58.0,8754,4.31,137
7240,11013,1993-09-06,274740,60,4579,0,1,4,1993-02-14,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6687,8261,1993-09-13,87840,24,3660,0,13,1,1993-05-12,12,0,0,1,0,53921,61,22,1,1,2,41.3,8598,3.26,123
7284,11265,1993-09-15,52788,12,4399,0,15,1,1993-01-14,14,0,0,1,1,58796,22,16,7,1,5,51.9,9045,3.6,124
6111,5428,1993-09-24,174744,24,7281,1,24,1,1993-04-14,23,0,1,0,0,122603,25,21,6,2,8,80.0,8991,2.01,128
7235,10973,1993-10-13,154416,48,3217,0,18,4,1993-04-20,17,0,0,1,1,70699,60,13,2,1,4,65.3,8968,3.35,131
5997,4894,1993-11-04,117024,24,4876,0,14,1,1993-06-20,13,0,0,1,1,177686,69,27,10,1,9,74.8,10045,1.71,135
7121,10364,1993-11-10,21924,36,609,0,55,1,1993-01-17,54,0,1,1,1,157042,49,70,18,0,9,33.9,8743,2.43,111
6077,5270,1993-11-22,79608,24,3317,0,44,1,1993-01-13,43,0,1,1,0,105606,77,26,7,2,7,53.0,8254,3.76,97
6228,6034,1993-12-01,464520,60,7742,1,6,4,1993-03-19,5,0,0,1,0,77963,60,23,4,2,4,51.5,8546,4.02,126
6356,6701,1993-12-08,95400,36,2650,0,49,4,1993-03-15,48,0,1,1,0,75685,31,28,5,1,9,60.8,8208,2.26,155
5523,2705,1993-12-08,93888,36,2608,0,63,12,1993-07-05,62,0,1,1,1,86513,38,36,5,1,5,50.5,8288,4.52,110
6456,7123,1993-12-09,47016,12,3918,0,64,12,1993-04-14,63,0,1,1,1,197099,29,41,10,2,10,74.7,9624,2.31,145
7104,10320,1993-12-13,259740,60,4329,0,68,1,1993-07-11,67,1,0,0,0,228848,15,40,18,2,6,57.2,9893,4.72,96
6820,9034,1993-12-16,38148,12,3179,0,1,1,1993-06-28,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6876,9236,1993-12-21,86616,12,7218,0,11,1,1993-08-18,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154
7097,10266,1993-12-23,75624,24,3151,1,54,1,1993-06-10,53,0,1,1,1,387570,0,0,0,1,1,100.0,9897,1.96,140
4959,2,1994-01-05,80952,24,3373,0,1,1,1993-02-26,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6499,7401,1994-01-05,80952,24,3373,0,1,1,1993-02-26,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5479,2486,1994-01-10,24516,12,2043,0,1,1,1993-02-27,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5170,1071,1994-01-20,253200,60,4220,0,68,4,1993-05-10,67,1,0,0,0,228848,15,40,18,2,6,57.2,9893,4.72,96
6721,8475,1994-01-21,21072,24,878,0,4,1,1993-09-08,3,0,0,1,0,149893,63,29,6,2,6,67.4,9753,5.05,109
7259,11111,1994-01-31,108144,36,3004,0,1,1,1993-05-20,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5285,1603,1994-02-06,78936,12,6578,0,1,1,1993-05-09,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5189,1166,1994-02-07,149040,48,3105,0,11,1,1993-04-21,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154
6650,8073,1994-02-17,49320,12,4110,1,24,12,1993-09-03,23,0,1,0,0,122603,25,21,6,2,8,80.0,8991,2.01,128
7226,10940,1994-02-23,197748,36,5493,0,50,1,1993-09-13,49,0,1,1,0,102609,75,33,2,3,6,52.0,8187,5.45,94
6087,5313,1994-02-27,300660,60,5011,0,40,1,1993-04-29,39,0,1,0,1,128118,9,16,6,3,8,85.3,9317,7.07,97
7262,11135,1994-03-01,182628,36,5073,0,75,1,1993-10-10,74,1,0,0,0,138032,67,30,4,2,5,64.6,8819,5.66,99
5519,2694,1994-03-08,91632,12,7636,0,7,1,1993-03-08,6,0,0,1,0,94725,38,28,1,3,6,63.4,9920,2.87,130
6577,7753,1994-03-11,51696,24,2154,0,74,1,1993-02-08,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100
6509,7445,1994-03-15,55368,24,2307,0,64,1,1993-03-18,63,0,1,1,1,197099,29,41,10,2,10,74.7,9624,2.31,145
6520,7485,1994-03-16,91200,24,3800,0,39,1,1993-07-28,38,0,1,0,1,119895,17,4,3,2,4,89.9,10446,9.4,90
6699,8330,1994-03-30,7656,24,319,0,48,1,1993-03-28,47,0,1,1,0,78955,50,24,8,1,9,59.0,9060,2.44,124
6336,6555,1994-03-31,212400,36,5900,0,38,4,1993-03-05,37,0,1,0,1,85852,41,23,4,2,4,59.8,8965,8.23,104
7055,10079,1994-04-06,167100,60,2785,0,62,1,1993-05-06,61,0,1,1,1,145688,22,41,13,2,5,40.7,8544,1.86,109
6103,5385,1994-04-07,149340,60,2489,0,44,4,1993-05-21,43,0,1,1,0,105606,77,26,7,2,7,53.0,8254,3.76,97
6202,5891,1994-04-18,65184,12,5432,0,54,1,1993-01-25,53,0,1,1,1,387570,0,0,0,1,1,100.0,9897,1.96,140
7066,10131,1994-05-02,215388,36,5983,1,1,1,1993-11-27,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6696,8321,1994-05-09,89040,60,1484,0,77,1,1993-04-12,76,1,0,0,0,148545,8,35,12,3,4,53.5,8909,5.56,113
6072,5256,1994-05-10,193968,36,5388,0,72,12,1993-10-25,71,1,0,0,0,226122,32,50,7,4,4,62.6,8994,4.79,110
5130,813,1994-05-11,24312,12,2026,0,16,1,1993-02-10,15,0,0,1,1,93931,74,21,10,1,8,56.9,8427,1.54,107
5568,2933,1994-05-17,272520,60,4542,0,10,1,1993-06-18,9,0,0,1,0,92084,55,29,4,3,5,46.7,10124,0.54,141
6678,8173,1994-05-20,80340,12,6695,0,11,1,1993-07-05,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154
6998,9833,1994-05-21,97632,12,8136,0,20,1,1993-07-24,19,0,0,1,1,70646,94,14,3,1,4,58.4,8547,3.64,120
6580,7769,1994-05-22,196080,48,4085,0,23,1,1993-10-03,22,0,1,0,0,87419,21,11,4,3,9,85.5,8624,2.66,102
6316,6473,1994-05-26,76908,12,6409,1,12,1,1993-01-26,11,0,0,1,0,107870,84,29,6,1,6,58.0,8754,4.31,137
6512,7454,1994-05-26,63312,48,1319,0,4,1,1993-04-19,3,0,0,1,0,149893,63,29,6,2,6,67.4,9753,5.05,109
6407,6930,1994-05-26,25944,24,1081,0,41,1,1993-09-08,40,0,1,0,1,118650,8,8,5,1,3,85.6,9832,4.48,114
5002,173,1994-05-31,104808,12,8734,0,66,1,1993-11-26,65,0,1,1,1,125832,151,41,2,3,5,48.3,8512,4.12,102
6647,8051,1994-06-01,208320,48,4340,0,1,4,1993-02-07,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
7137,10439,1994-06-03,151560,24,6315,0,66,1,1993-11-21,65,0,1,1,1,125832,151,41,2,3,5,48.3,8512,4.12,102
6903,9337,1994-06-04,52128,24,2172,0,30,1,1993-09-13,29,0,1,0,0,94812,15,13,8,2,10,81.8,9650,3.67,100
5918,4576,1994-06-04,300204,36,8339,0,27,1,1993-06-05,26,0,1,0,0,67298,71,19,10,0,7,43.8,8561,1.29,110
6642,8027,1994-06-05,77640,12,6470,0,44,4,1993-07-07,43,0,1,1,0,105606,77,26,7,2,7,53.0,8254,3.76,97
6210,5927,1994-06-06,87216,48,1817,1,15,1,1993-11-26,14,0,0,1,1,58796,22,16,7,1,5,51.9,9045,3.6,124
6279,6273,1994-06-07,87360,24,3640,0,38,1,1993-07-21,37,0,1,0,1,85852,41,23,4,2,4,59.8,8965,8.23,104
7249,11065,1994-06-12,69360,48,1445,0,11,1,1993-03-19,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154
6736,8558,1994-06-14,288360,60,4806,0,1,12,1994-02-27,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6112,5442,1994-06-17,174744,24,7281,1,34,1,1993-03-22,33,0,1,0,1,125236,28,11,1,4,5,87.7,9675,7.68,100
5319,1811,1994-06-23,239460,60,3991,0,40,1,1993-09-22,39,0,1,0,1,128118,9,16,6,3,8,85.3,9317,7.07,97
6596,7844,1994-06-25,91584,24,3816,0,1,1,1993-11-26,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5837,4260,1994-06-29,244560,60,4076,0,56,1,1993-10-14,55,0,1,1,1,124605,11,42,14,1,8,46.0,8772,4.98,126
5657,3354,1994-07-05,4980,12,415,0,63,1,1993-11-05,62,0,1,1,1,86513,38,36,5,1,5,50.5,8288,4.52,110
5533,2762,1994-07-05,111384,24,4641,0,19,1,1993-03-20,18,0,0,1,1,51428,50,11,3,1,4,52.7,8402,3.98,120
6232,6051,1994-07-08,276660,36,7685,1,56,1,1993-08-28,55,0,1,1,1,124605,11,42,14,1,8,46.0,8772,4.98,126
6888,9265,1994-07-11,39576,12,3298,0,1,1,1993-02-04,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6066,5228,1994-07-11,173808,24,7242,0,77,12,1993-06-23,76,1,0,0,0,148545,8,35,12,3,4,53.5,8909,5.56,113
5549,2824,1994-07-16,50460,60,841,0,11,1,1993-10-20,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154
5060,426,1994-07-19,252060,60,4201,1,1,1,1993-11-29,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6004,4937,1994-07-23,143904,24,5996,0,12,1,1993-02-20,11,0,0,1,0,107870,84,29,6,1,6,58.0,8754,4.31,137
5126,790,1994-07-24,208128,48,4336,1,54,1,1993-05-11,53,0,1,1,1,387570,0,0,0,1,1,100.0,9897,1.96,140
7220,10911,1994-07-28,131292,36,3647,0,1,4,1993-05-29,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6668,8129,1994-07-30,74736,36,2076,0,45,1,1993-06-26,44,0,1,1,0,77917,85,19,6,1,5,53.5,8390,2.89,132
5395,2176,1994-07-30,299088,36,8308,1,67,1,1993-06-06,66,1,0,0,0,106054,38,25,6,2,6,63.1,8110,6.55,109
6836,9093,1994-08-03,189300,60,3155,0,47,1,1993-06-16,46,0,1,1,0,162580,83,26,5,1,6,72.8,9538,1.81,111
6064,5215,1994-08-04,14628,12,1219,0,55,1,1993-07-01,54,0,1,1,1,157042,49,70,18,0,9,33.9,8743,2.43,111
6919,9403,1994-08-05,120888,36,3358,0,1,4,1993-03-27,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6841,9104,1994-08-07,172080,48,3585,0,10,1,1994-01-21,9,0,0,1,0,92084,55,29,4,3,5,46.7,10124,0.54,141
6038,5120,1994-08-10,323472,48,6739,0,1,1,1993-06-21,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6729,8519,1994-08-11,74688,12,6224,0,23,1,1993-04-02,22,0,1,0,0,87419,21,11,4,3,9,85.5,8624,2.66,102
