loan_id,account_id,loan_date,amount,duration,payments,status,district_id,frequency,account_date,index,region_0,region_1,region_2,region_3,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant_rate,no. of enterpreneurs per 1000 inhabitants,trans_date,last_balance,credits_mean,withdrawal_mean
5314,1787,1993-07-05,96396,12,8033,1,30,4,1993-03-22,29,0,1,0,0,94812,15,13,8,2,10,81.8,9650,3.67,100,1993-06-20,20100.0,5025.0,0.0
5316,1801,1993-07-11,165960,36,4610,0,46,1,1993-02-13,45,0,1,1,0,112709,48,20,7,3,10,73.5,8369,2.31,117,1993-07-09,52208.9,13523.158823529411,8884.240000000002
6863,9188,1993-07-28,127080,60,2118,0,45,1,1993-02-08,44,0,1,1,0,77917,85,19,6,1,5,53.5,8390,2.89,132,1993-07-21,20272.8,5009.733333333334,6097.0
5325,1843,1993-08-03,105804,36,2939,0,12,1,1993-01-30,11,0,0,1,0,107870,84,29,6,1,6,58.0,8754,4.31,137,1993-07-31,34307.3,9254.600000000002,7168.100000000001
7240,11013,1993-09-06,274740,60,4579,0,1,4,1993-02-14,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1993-08-31,41112.9,21255.930769230767,16801.0
6687,8261,1993-09-13,87840,24,3660,0,13,1,1993-05-12,12,0,0,1,0,53921,61,22,1,1,2,41.3,8598,3.26,123,1993-09-09,43847.8,7331.9857142857145,19600.0
7284,11265,1993-09-15,52788,12,4399,0,15,1,1993-01-14,14,0,0,1,1,58796,22,16,7,1,5,51.9,9045,3.6,124,1993-09-11,21029.0,4304.038095238095,3152.536363636363
6111,5428,1993-09-24,174744,24,7281,1,24,1,1993-04-14,23,0,1,0,0,122603,25,21,6,2,8,80.0,8991,2.01,128,1993-09-21,58140.9,13374.849999999999,9741.050000000001
7235,10973,1993-10-13,154416,48,3217,0,18,4,1993-04-20,17,0,0,1,1,70699,60,13,2,1,4,65.3,8968,3.35,131,1993-10-08,53402.7,11408.9875,8071.3125
5997,4894,1993-11-04,117024,24,4876,0,14,1,1993-06-20,13,0,0,1,1,177686,69,27,10,1,9,74.8,10045,1.71,135,1993-10-31,53193.5,13154.833333333336,16300.0
7121,10364,1993-11-10,21924,36,609,0,55,1,1993-01-17,54,0,1,1,1,157042,49,70,18,0,9,33.9,8743,2.43,111,1993-11-07,49083.3,7551.738095238096,4562.625000000001
6077,5270,1993-11-22,79608,24,3317,0,44,1,1993-01-13,43,0,1,1,0,105606,77,26,7,2,7,53.0,8254,3.76,97,1993-11-16,103745.7,23558.290909090912,13372.148387096771
6228,6034,1993-12-01,464520,60,7742,1,6,4,1993-03-19,5,0,0,1,0,77963,60,23,4,2,4,51.5,8546,4.02,126,1993-11-30,121570.3,16035.55806451613,11073.837837837838
6356,6701,1993-12-08,95400,36,2650,0,49,4,1993-03-15,48,0,1,1,0,75685,31,28,5,1,9,60.8,8208,2.26,155,1993-11-30,27697.0,11706.590909090908,9195.12
5523,2705,1993-12-08,93888,36,2608,0,63,12,1993-07-05,62,0,1,1,1,86513,38,36,5,1,5,50.5,8288,4.52,110,1993-12-02,34716.3,7084.7,7185.714285714285
6456,7123,1993-12-09,47016,12,3918,0,64,12,1993-04-14,63,0,1,1,1,197099,29,41,10,2,10,74.7,9624,2.31,145,1993-12-05,58773.2,13031.063636363637,11395.5
7104,10320,1993-12-13,259740,60,4329,0,68,1,1993-07-11,67,1,0,0,0,228848,15,40,18,2,6,57.2,9893,4.72,96,1993-12-10,67219.5,14443.35,11030.57142857143
6820,9034,1993-12-16,38148,12,3179,0,1,1,1993-06-28,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1993-12-14,56840.8,8067.861111111111,8863.236363636364
6876,9236,1993-12-21,86616,12,7218,0,11,1,1993-08-18,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154,1993-12-16,37253.1,4879.433333333333,7100.0
7097,10266,1993-12-23,75624,24,3151,1,54,1,1993-06-10,53,0,1,1,1,387570,0,0,0,1,1,100.0,9897,1.96,140,1993-12-17,41954.8,11677.0,16650.0
4959,2,1994-01-05,80952,24,3373,0,1,1,1993-02-26,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1993-12-31,27840.6,10394.786363636362,6276.393750000001
6499,7401,1994-01-05,80952,24,3373,0,1,1,1993-02-26,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1993-12-31,28749.1,10395.177272727273,6248.268750000001
5479,2486,1994-01-10,24516,12,2043,0,1,1,1993-02-27,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1993-12-31,78656.2,20344.677419354834,13143.542857142855
5170,1071,1994-01-20,253200,60,4220,0,68,4,1993-05-10,67,1,0,0,0,228848,15,40,18,2,6,57.2,9893,4.72,96,1994-01-19,81150.6,13560.890476190476,10181.4
6721,8475,1994-01-21,21072,24,878,0,4,1,1993-09-08,3,0,0,1,0,149893,63,29,6,2,6,67.4,9753,5.05,109,1994-01-06,33467.0,3012.853846153846,4150.0
7259,11111,1994-01-31,108144,36,3004,0,1,1,1993-05-20,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-01-18,21921.3,16822.826086956524,11406.3625
5285,1603,1994-02-06,78936,12,6578,0,1,1,1993-05-09,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-02-05,24601.0,3975.208333333334,2622.3703703703704
5189,1166,1994-02-07,149040,48,3105,0,11,1,1993-04-21,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154,1994-01-31,19033.5,9496.58,5026.411764705883
6650,8073,1994-02-17,49320,12,4110,1,24,12,1993-09-03,23,0,1,0,0,122603,25,21,6,2,8,80.0,8991,2.01,128,1994-02-14,15673.6,15663.03529411765,7831.1875
7226,10940,1994-02-23,197748,36,5493,0,50,1,1993-09-13,49,0,1,1,0,102609,75,33,2,3,6,52.0,8187,5.45,94,1994-02-16,43294.5,12363.145454545454,18540.0
6087,5313,1994-02-27,300660,60,5011,0,40,1,1993-04-29,39,0,1,0,1,128118,9,16,6,3,8,85.3,9317,7.07,97,1994-02-23,33918.9,14927.625,7722.476190476191
7262,11135,1994-03-01,182628,36,5073,0,75,1,1993-10-10,74,1,0,0,0,138032,67,30,4,2,5,64.6,8819,5.66,99,1994-02-28,45660.9,7666.089999999999,10333.333333333334
5519,2694,1994-03-08,91632,12,7636,0,7,1,1993-03-08,6,0,0,1,0,94725,38,28,1,3,6,63.4,9920,2.87,130,1994-03-03,33061.9,8784.244444444443,4746.809302325582
6577,7753,1994-03-11,51696,24,2154,0,74,1,1993-02-08,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100,1994-03-05,38202.2,16546.952272727274,11894.199999999997
6509,7445,1994-03-15,55368,24,2307,0,64,1,1993-03-18,63,0,1,1,1,197099,29,41,10,2,10,74.7,9624,2.31,145,1994-03-13,12414.4,9204.863829787235,8239.490196078432
6520,7485,1994-03-16,91200,24,3800,0,39,1,1993-07-28,38,0,1,0,1,119895,17,4,3,2,4,89.9,10446,9.4,90,1994-03-13,32715.3,10908.277777777777,9090.766666666668
6699,8330,1994-03-30,7656,24,319,0,48,1,1993-03-28,47,0,1,1,0,78955,50,24,8,1,9,59.0,9060,2.44,124,1994-03-23,36353.1,7746.088888888888,5389.026666666668
6336,6555,1994-03-31,212400,36,5900,0,38,4,1993-03-05,37,0,1,0,1,85852,41,23,4,2,4,59.8,8965,8.23,104,1994-03-30,64221.1,13977.941935483874,9227.375
7055,10079,1994-04-06,167100,60,2785,0,62,1,1993-05-06,61,0,1,1,1,145688,22,41,13,2,5,40.7,8544,1.86,109,1994-04-01,39310.2,17751.066666666666,11879.891304347824
6103,5385,1994-04-07,149340,60,2489,0,44,4,1993-05-21,43,0,1,1,0,105606,77,26,7,2,7,53.0,8254,3.76,97,1994-03-31,23538.3,7546.752173913043,4546.575757575758
6202,5891,1994-04-18,65184,12,5432,0,54,1,1993-01-25,53,0,1,1,1,387570,0,0,0,1,1,100.0,9897,1.96,140,1994-04-16,67995.4,17495.916666666668,8786.192307692305
7066,10131,1994-05-02,215388,36,5983,1,1,1,1993-11-27,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-04-30,30662.8,6116.29,6100.0
6696,8321,1994-05-09,89040,60,1484,0,77,1,1993-04-12,76,1,0,0,0,148545,8,35,12,3,4,53.5,8909,5.56,113,1994-05-07,29305.8,3735.122727272728,3140.451162790698
6072,5256,1994-05-10,193968,36,5388,0,72,12,1993-10-25,71,1,0,0,0,226122,32,50,7,4,4,62.6,8994,4.79,110,1994-05-04,80780.0,14309.0,22822.222222222223
5130,813,1994-05-11,24312,12,2026,0,16,1,1993-02-10,15,0,0,1,1,93931,74,21,10,1,8,56.9,8427,1.54,107,1994-05-06,28461.9,5601.632432432431,4360.941463414635
5568,2933,1994-05-17,272520,60,4542,0,10,1,1993-06-18,9,0,0,1,0,92084,55,29,4,3,5,46.7,10124,0.54,141,1994-05-14,30009.9,13755.75294117647,8753.707999999999
6678,8173,1994-05-20,80340,12,6695,0,11,1,1993-07-05,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154,1994-05-05,89342.6,20306.622727272726,11913.43333333333
6998,9833,1994-05-21,97632,12,8136,0,20,1,1993-07-24,19,0,0,1,1,70646,94,14,3,1,4,58.4,8547,3.64,120,1994-05-20,41330.1,25763.21,10531.866666666665
6580,7769,1994-05-22,196080,48,4085,0,23,1,1993-10-03,22,0,1,0,0,87419,21,11,4,3,9,85.5,8624,2.66,102,1994-05-14,86857.4,14476.62,7506.481481481483
6316,6473,1994-05-26,76908,12,6409,1,12,1,1993-01-26,11,0,0,1,0,107870,84,29,6,1,6,58.0,8754,4.31,137,1994-05-21,14888.6,15876.135714285716,10865.15333333333
6512,7454,1994-05-26,63312,48,1319,0,4,1,1993-04-19,3,0,0,1,0,149893,63,29,6,2,6,67.4,9753,5.05,109,1994-05-14,28553.5,2763.92,1450.7191489361699
