,region_2,withdrawal_mean,payments,status,no. of enterpreneurs per 1000 inhabitants,time_since_create,region_0,region_3,region_1,balance_min,balance_max,credits_mean,unemploymant_rate,status,loan_id
0,0,0.0,8033,1,100,105,0,0,1,1100.0,20100.0,5025.0,3.67,1,5314
1,1,8884.240000000002,4610,0,117,148,0,0,1,700.0,120512.8,13523.158823529411,2.31,0,5316
2,1,6097.0,2118,0,132,170,0,0,1,800.0,49590.4,5009.733333333334,2.89,0,6863
3,1,7168.100000000001,2939,0,137,185,0,0,0,1000.0,65898.5,9254.600000000002,4.31,0,5325
4,0,16801.0,4579,0,167,204,0,1,0,600.0,122893.1,21255.930769230767,0.43,0,7240
5,1,19600.0,3660,0,123,124,0,0,0,500.0,65847.8,7331.985714285714,3.26,0,6687
6,1,3152.536363636363,4399,0,124,244,0,1,0,1000.0,41469.1,4304.038095238095,3.6,0,7284
7,0,9741.05,7281,1,128,163,0,0,1,1000.0,105628.0,13374.85,2.01,1,6111
8,1,8071.3125,3217,0,131,176,0,1,0,8897.0,81723.5,11408.9875,3.35,0,7235
9,1,16300.0,4876,0,135,137,0,1,0,800.0,76985.2,13154.833333333336,1.71,0,5997
10,1,4562.625000000001,609,0,111,297,0,1,1,1100.0,60432.4,7551.738095238096,2.43,0,7121
11,1,13372.148387096771,3317,0,97,313,0,0,1,800.0,125825.7,23558.290909090912,3.76,0,6077
12,1,11073.837837837838,7742,1,126,257,0,0,0,200.0,125943.1,16035.55806451613,4.02,1,6228
13,1,9195.12,2650,0,155,268,0,0,1,200.0,92354.8,11706.590909090908,2.26,0,6356
14,1,7185.714285714285,2608,0,110,156,0,1,1,600.0,52378.2,7084.7,4.52,0,5523
15,1,11395.5,3918,0,145,239,0,1,1,200.0,112901.6,13031.063636363637,2.31,0,6456
16,0,11030.57142857143,4329,0,96,155,1,0,0,800.0,79633.5,14443.35,4.72,0,7104
17,0,8863.236363636364,3179,0,167,171,0,1,0,900.0,62324.6,8067.861111111111,0.43,0,6820
18,1,7100.0,7218,0,154,125,0,0,0,800.0,48353.1,4879.433333333333,0.59,0,6876
19,1,16650.0,3151,1,140,196,0,1,1,400.0,89754.8,11677.0,1.96,1,7097
20,0,6276.393750000001,3373,0,167,313,0,1,0,1100.0,67529.6,10394.786363636362,0.43,0,4959
21,0,6248.268750000001,3373,0,167,313,0,1,0,1100.0,67529.6,10395.177272727273,0.43,0,6499
22,0,13143.542857142857,2043,0,167,317,0,1,0,200.0,125254.2,20344.677419354837,0.43,0,5479
23,0,10181.4,4220,0,96,255,1,0,0,800.0,104417.9,13560.890476190476,4.72,0,5170
24,1,4150.0,878,0,109,135,0,0,0,1100.0,33467.0,3012.853846153846,5.05,0,6721
25,0,11406.3625,3004,0,167,256,0,1,0,900.0,123863.4,16822.826086956524,0.43,0,7259
26,0,2622.3703703703704,6578,0,167,273,0,1,0,900.0,40560.3,3975.208333333334,0.43,0,5285
27,1,5026.411764705883,3105,0,154,292,0,0,0,200.0,62441.6,9496.58,0.59,0,5189
28,0,7831.1875,4110,1,128,167,0,0,1,900.0,126833.0,15663.03529411765,2.01,1,6650
29,1,18540.0,5493,0,94,163,0,0,1,300.0,74413.6,12363.145454545454,5.45,0,7226
30,0,7722.476190476191,5011,0,97,304,0,1,1,800.0,135175.2,14927.625,7.07,0,6087
31,0,10333.333333333334,5073,0,99,142,1,0,0,500.0,52246.0,7666.089999999999,5.66,0,7262
32,1,4746.809302325582,7636,0,130,365,0,0,0,700.0,64577.8,8784.244444444443,2.87,0,5519
33,0,11894.199999999995,2154,0,100,396,1,0,0,600.0,124339.4,16546.952272727274,5.44,0,6577
34,1,8239.490196078432,2307,0,145,362,0,1,1,200.0,113350.7,9204.863829787237,2.31,0,6509
35,0,9090.766666666668,3800,0,90,231,0,1,1,700.0,76736.9,10908.277777777776,9.4,0,6520
36,1,5389.026666666668,319,0,124,367,0,0,1,600.0,73069.1,7746.088888888888,2.44,0,6699
37,0,9227.375,5900,0,104,391,0,1,1,300.0,133215.2,13977.941935483874,8.23,0,6336
38,1,11879.891304347824,2785,0,109,335,0,1,1,1100.0,143605.7,17751.066666666666,1.86,0,7055
39,1,4546.575757575758,2489,0,97,321,0,0,1,500.0,53214.0,7546.752173913043,3.76,0,6103
40,1,8786.192307692305,5432,0,140,448,0,1,1,900.0,102410.3,17495.916666666668,1.96,0,6202
41,0,6100.0,5983,1,167,156,0,1,0,1000.0,50757.0,6116.29,0.43,1,7066
42,0,3140.451162790698,1484,0,113,392,1,0,0,800.0,46550.2,3735.122727272728,5.56,0,6696
43,0,22822.222222222223,5388,0,110,197,1,0,0,800.0,120567.3,14309.0,4.79,0,6072
44,1,4360.941463414635,2026,0,107,455,0,1,0,1100.0,48277.9,5601.632432432431,1.54,0,5130
45,1,8753.707999999999,4542,0,141,333,0,0,0,1100.0,121891.4,13755.75294117647,0.54,0,5568
46,1,11913.43333333333,6695,0,154,319,0,0,0,1100.0,122523.5,20306.622727272726,0.59,0,6678
47,1,10531.866666666663,8136,0,120,301,0,1,0,1100.0,119900.1,25763.21,3.64,0,6998
48,0,7506.481481481483,4085,0,102,231,0,0,1,900.0,97457.4,14476.62,2.66,0,6580
49,1,10865.15333333333,6409,1,137,485,0,0,0,1100.0,126002.8,15876.135714285716,4.31,1,6316
50,1,1450.71914893617,1319,0,109,402,0,0,0,500.0,31462.9,2763.92,5.05,0,6512
51,0,9074.355555555558,1081,0,114,260,0,1,1,600.0,80155.2,12249.336842105264,4.48,0,6407
52,1,4757.255555555556,8734,0,102,186,0,1,1,500.0,57865.3,9470.5,4.12,0,5002
53,0,7286.0,4340,0,167,479,0,1,0,200.0,82981.9,12819.854545454547,0.43,0,6647
54,1,15095.746666666668,6315,0,102,194,0,1,1,300.0,97912.7,19058.40769230769,4.12,0,7137
55,0,5771.993750000001,2172,0,100,264,0,0,1,144.2,59944.2,6244.838461538461,3.67,0,6903
56,0,4921.745454545456,8339,0,110,364,0,0,1,300.0,57676.7,9277.392592592592,1.29,0,5918
57,1,10059.5,6470,0,97,333,0,0,1,700.0,117489.5,18776.67727272728,3.76,0,6642
58,1,4653.099999999999,1817,1,124,192,0,1,0,200.0,41410.0,3691.82380952381,3.6,1,6210
59,0,7689.657142857143,3640,0,104,321,0,1,1,200.0,69174.6,8544.574999999999,8.23,0,6279
60,1,3528.638297872341,1445,0,154,450,0,0,0,1100.0,52365.0,6597.132258064516,0.59,0,7249
61,0,10600.0,4806,0,167,107,0,1,0,800.0,58495.8,8081.299999999999,0.43,0,6736
62,0,5396.207499999999,7281,1,100,452,0,1,1,-1369.2,96659.4,11542.82894736842,7.68,1,6112
63,0,7312.228571428573,3991,0,97,274,0,1,1,300.0,74408.8,13387.93888888889,7.07,0,5319
64,0,12213.070588235294,3816,0,167,211,0,1,0,1000.0,83039.4,18390.37142857143,0.43,0,6596
65,1,8453.533333333335,4076,0,126,258,0,1,1,1000.0,72512.5,12456.16111111111,4.98,0,5837
66,1,2933.2370370370368,415,0,110,242,0,1,1,800.0,41106.2,5352.515789473684,4.52,0,5657
67,1,10327.2412371134,4641,0,120,472,0,1,0,500.0,141386.0,19164.749090909096,3.98,0,5533
68,1,3270.9857142857145,7685,1,126,314,0,1,1,500.0,32720.4,3712.3666666666654,4.98,1,6232
69,0,7481.906451612902,3298,0,167,522,0,1,0,300.0,103467.2,9203.384905660376,0.43,0,6888
70,0,12350.122448979591,7242,0,113,383,1,0,0,1000.0,134416.6,26907.22692307692,5.56,0,6066
71,1,4861.808333333334,841,0,154,269,0,0,0,800.0,51971.4,8327.073684210525,0.59,0,5549
72,0,9129.085714285717,4201,1,167,232,0,1,0,900.0,106259.6,14985.173076923076,0.43,1,5060
73,1,6737.315217391302,5996,0,137,518,0,0,0,700.0,134571.2,14003.602127659577,4.31,0,6004
74,1,7468.908571428573,4336,1,140,439,0,1,1,-1069.7,96064.0,11823.66896551724,1.96,1,5126
75,0,5792.888888888889,3647,0,167,425,0,1,0,1000.0,70288.4,11868.186206896553,0.43,0,7220
76,1,6288.019512195123,2076,0,132,399,0,0,1,700.0,62084.0,11194.334615384618,2.89,0,6668
77,0,9916.382499999996,8308,1,109,419,1,0,0,500.0,193909.9,17668.680434782607,6.55,1,5395
78,1,4142.723333333334,3155,0,111,413,0,0,1,800.0,61043.3,6502.74761904762,1.81,0,6836
79,1,2620.457534246576,1219,0,111,399,0,1,1,200.0,52184.7,7799.868965517242,2.43,0,6064
80,0,7007.416666666667,3358,0,167,496,0,1,0,600.0,116468.4,13123.877777777778,0.43,0,6919
81,1,12331.729411764709,3585,0,141,198,0,0,0,200.0,119138.8,10713.956,0.54,0,6841
82,0,11015.089655172413,6739,0,167,415,0,1,0,200.0,119934.1,13879.189285714285,0.43,0,6038
83,0,10038.368253968252,6224,0,102,496,0,0,1,1100.0,104902.4,13496.946938775513,2.66,0,6729
84,0,9800.0,3814,0,109,274,1,0,0,800.0,78327.5,4701.254545454545,6.55,0,7198
85,0,11116.342372881352,6239,0,108,519,0,0,1,200.0,109178.4,20475.04411764706,4.2,0,6686
86,1,25786.0,3318,0,102,141,0,1,1,900.0,119373.5,24446.25,4.12,0,5836
87,1,11004.674074074072,5079,0,111,486,0,1,1,600.0,133454.9,16312.041025641029,2.43,0,7061
88,1,7111.017391304345,6908,0,115,482,0,1,1,900.0,107680.9,20655.87058823529,4.48,0,5595
89,0,8414.98032786885,1969,0,104,547,0,1,1,1000.0,140228.7,11783.88163265306,8.23,0,5723
90,1,11161.233333333332,4358,0,108,391,0,0,1,1000.0,110583.8,19731.79230769231,3.49,0,6120
91,0,5761.774999999998,3492,0,96,603,1,0,0,900.0,129123.0,7938.838095238093,4.72,0,6895
92,0,4251.186046511629,7318,0,118,476,0,1,1,800.0,43442.2,4840.648780487804,3.22,0,5882
93,1,2399.19512195122,1921,0,140,617,0,1,1,700.0,54321.8,6742.349999999999,1.96,0,5754
94,1,0.0,7904,1,115,134,0,1,1,600.0,22500.0,4500.0,4.48,1,6594
95,0,6626.820454545454,6395,1,100,356,1,0,0,-2719.7,130801.0,7839.626315789475,5.44,1,6738
96,1,8085.147826086957,5955,0,111,326,0,1,1,200.0,82549.0,13133.975,2.43,0,6624
97,1,6047.6906666666655,5885,0,94,388,0,0,1,1000.0,107784.1,18498.09259259259,5.45,0,6216
98,0,3996.8226804123706,489,0,167,528,0,1,0,1100.0,70826.8,11518.78888888889,0.43,0,6229
99,1,6417.6511627906975,5354,0,115,488,0,1,1,700.0,121508.1,9241.760606060603,4.48,0,5887
100,1,8201.27894736842,6330,0,145,382,0,1,1,1100.0,153213.7,8119.22888888889,2.31,0,6808
101,0,3666.4878048780497,1459,0,100,450,1,0,0,900.0,54432.3,6398.487096774194,5.44,0,6297
102,1,10233.333333333334,4091,0,105,111,0,1,1,500.0,68956.1,9059.654545454545,5.72,0,5161
103,1,7136.769565217392,7094,0,107,448,0,1,0,200.0,79869.8,11986.912903225808,1.54,0,5390
104,0,9929.641860465115,6918,0,81,632,1,0,0,700.0,136436.6,20124.31791044776,7.75,0,6150
105,0,3998.053658536586,1272,0,167,347,0,1,0,900.0,55816.0,8584.586956521738,0.43,0,6223
106,1,6678.964102564103,2577,0,126,336,0,1,1,300.0,89822.2,12984.854545454546,4.98,0,5032
107,0,6356.331250000001,2490,0,100,312,1,0,0,300.0,69643.1,11115.263636363636,5.44,0,6253
108,0,1031.006349206349,1352,0,167,415,0,1,0,300.0,33484.4,2590.1029411764707,0.43,0,6460
109,0,10137.956521739132,3900,0,167,392,0,1,0,400.0,115000.2,11883.85,0.43,0,6645
110,1,5445.4,8023,1,120,440,0,1,0,800.0,49563.0,6090.784615384614,3.64,1,5176
111,0,10091.767567567567,4557,1,108,367,0,0,1,-2564.7,112045.6,14078.810714285715,4.2,1,5269
